--------------------------------------------------------------------
    Bytes Format Units   Label    Explanations
--------------------------------------------------------------------
    1-  5  F5.2  [cm/s2] logg     [0/5] Surface gravity
    7- 12  F6.0  K       Teff     [2000/50000] Effective temperature
   14- 17  F4.1  [Sun]   Z        [-5/1] Metallicity (log[M/H])
   19- 22  F4.1  km/s    xi       [0/8] Microturbulent velocity
   24- 30  F7.4  ---     a        Quadratic ld coefficient a (G2)
   32- 38  F7.4  ---     b        Quadratic ld b (G2)
   40- 41  A2    ---     Filt     Filter (G1)
   43      A1    ---     Met      [LF] Method 
   45- 51  A7    ---     Mod      Model (ATLAS or PHOENIX)
---------------------------------------------------------------------
 0.00   3500 -5.0  2.0  0.5878  0.0535 Kp L ATLAS 
 0.50   3500 -5.0  2.0  0.5475  0.0918 Kp L ATLAS 
 1.00   3500 -5.0  2.0  0.4609  0.1714 Kp L ATLAS 
 1.50   3500 -5.0  2.0  0.3828  0.2411 Kp L ATLAS 
 2.00   3500 -5.0  2.0  0.3483  0.2720 Kp L ATLAS 
 2.50   3500 -5.0  2.0  0.3484  0.2736 Kp L ATLAS 
 3.00   3500 -5.0  2.0  0.3712  0.2569 Kp L ATLAS 
 0.00   3750 -5.0  2.0  0.5863  0.0545 Kp L ATLAS 
 0.50   3750 -5.0  2.0  0.5573  0.0828 Kp L ATLAS 
 1.00   3750 -5.0  2.0  0.5073  0.1267 Kp L ATLAS 
 1.50   3750 -5.0  2.0  0.3930  0.2249 Kp L ATLAS 
 2.00   3750 -5.0  2.0  0.2546  0.3387 Kp L ATLAS 
 2.50   3750 -5.0  2.0  0.1743  0.4020 Kp L ATLAS 
 3.00   3750 -5.0  2.0  0.1495  0.4288 Kp L ATLAS 
 0.00   4000 -5.0  2.0  0.5930  0.0474 Kp L ATLAS 
 0.50   4000 -5.0  2.0  0.5534  0.0855 Kp L ATLAS 
 1.00   4000 -5.0  2.0  0.5000  0.1361 Kp L ATLAS 
 1.50   4000 -5.0  2.0  0.4355  0.1953 Kp L ATLAS 
 2.00   4000 -5.0  2.0  0.3480  0.2584 Kp L ATLAS 
 2.50   4000 -5.0  2.0  0.1999  0.3665 Kp L ATLAS 
 3.00   4000 -5.0  2.0  0.0881  0.4420 Kp L ATLAS 
 3.50   4000 -5.0  2.0  0.0223  0.4928 Kp L ATLAS 
 0.00   4250 -5.0  2.0  0.5944  0.0466 Kp L ATLAS 
 0.50   4250 -5.0  2.0  0.5511  0.0880 Kp L ATLAS 
 1.00   4250 -5.0  2.0  0.4920  0.1443 Kp L ATLAS 
 1.50   4250 -5.0  2.0  0.4316  0.2010 Kp L ATLAS 
 2.00   4250 -5.0  2.0  0.3772  0.2495 Kp L ATLAS 
 2.50   4250 -5.0  2.0  0.2893  0.3188 Kp L ATLAS 
 3.00   4250 -5.0  2.0  0.2032  0.3635 Kp L ATLAS 
 3.50   4250 -5.0  2.0  0.0991  0.4197 Kp L ATLAS 
 4.00   4250 -5.0  2.0  0.0334  0.4411 Kp L ATLAS 
 0.00   4500 -5.0  2.0  0.5770  0.0642 Kp L ATLAS 
 0.50   4500 -5.0  2.0  0.5362  0.1029 Kp L ATLAS 
 1.00   4500 -5.0  2.0  0.4823  0.1545 Kp L ATLAS 
 1.50   4500 -5.0  2.0  0.4234  0.2100 Kp L ATLAS 
 2.00   4500 -5.0  2.0  0.3692  0.2609 Kp L ATLAS 
 2.50   4500 -5.0  2.0  0.3170  0.3064 Kp L ATLAS 
 3.00   4500 -5.0  2.0  0.2609  0.3475 Kp L ATLAS 
 3.50   4500 -5.0  2.0  0.1724  0.3992 Kp L ATLAS 
 4.00   4500 -5.0  2.0  0.0833  0.4387 Kp L ATLAS 
 0.00   4750 -5.0  2.0  0.5477  0.0920 Kp L ATLAS 
 0.50   4750 -5.0  2.0  0.5119  0.1262 Kp L ATLAS 
 1.00   4750 -5.0  2.0  0.4715  0.1650 Kp L ATLAS 
 1.50   4750 -5.0  2.0  0.4208  0.2135 Kp L ATLAS 
 2.00   4750 -5.0  2.0  0.3686  0.2628 Kp L ATLAS 
 2.50   4750 -5.0  2.0  0.3239  0.3037 Kp L ATLAS 
 3.00   4750 -5.0  2.0  0.2861  0.3348 Kp L ATLAS 
 3.50   4750 -5.0  2.0  0.2535  0.3566 Kp L ATLAS 
 4.00   4750 -5.0  2.0  0.1721  0.4054 Kp L ATLAS 
 4.50   4750 -5.0  2.0  0.0979  0.4334 Kp L ATLAS 
 0.00   5000 -5.0  2.0  0.5142  0.1221 Kp L ATLAS 
